admin_js.admin.api.all_users,全てのユーザ
admin_js.admin.api.confirm_regen,このAPIキーを新しいものに置き換えてもよろしいですか?
admin_js.admin.api.confirm_revoke,このキーを無効化しても本当によろしいですか?
admin_js.admin.api.generate,API キーを生成
admin_js.admin.api.generate_master,マスターAPIキーを生成
admin_js.admin.api.info_html,API キーを使うと、JSON 呼び出しでトピックの作成・更新を行うことが出来ます。
admin_js.admin.api.key,Key
admin_js.admin.api.none,現在アクティブなAPIキーが存在しません。
admin_js.admin.api.note_html,このキーは<strong>秘密</strong>情報です。キーを知るユーザは、任意のユーザとして任意のポストを作成することができます。
admin_js.admin.api.regenerate,API キーを再生成
admin_js.admin.api.revoke,無効化
admin_js.admin.api.title,API
admin_js.admin.api.user,ユーザ
admin_js.admin.backups.columns.filename,ファイル名
admin_js.admin.backups.columns.size,サイズ
admin_js.admin.backups.logs.none,***TO BE TRANSLATED***No logs yet...
admin_js.admin.backups.menu.backups,バックアップ
admin_js.admin.backups.menu.logs,ログ
admin_js.admin.backups.none,バックアップはありません。
admin_js.admin.backups.operations.backup.confirm,***TO BE TRANSLATED***Are you sure you want to start a new backup?
admin_js.admin.backups.operations.backup.text,バックアップする
admin_js.admin.backups.operations.backup.title,***TO BE TRANSLATED***Create a backup
admin_js.admin.backups.operations.cancel.confirm,***TO BE TRANSLATED***Are you sure you want to cancel the current operation?
admin_js.admin.backups.operations.cancel.text,***TO BE TRANSLATED***Cancel
admin_js.admin.backups.operations.cancel.title,***TO BE TRANSLATED***Cancel the current operation
admin_js.admin.backups.operations.destroy.confirm,***TO BE TRANSLATED***Are you sure you want to destroy this backup?
admin_js.admin.backups.operations.destroy.text,***TO BE TRANSLATED***Delete
admin_js.admin.backups.operations.destroy.title,***TO BE TRANSLATED***Remove the backup
admin_js.admin.backups.operations.download.text,***TO BE TRANSLATED***Download
admin_js.admin.backups.operations.download.title,***TO BE TRANSLATED***Download the backup
admin_js.admin.backups.operations.failed,***TO BE TRANSLATED***The {{operation}} failed. Please check the logs.
admin_js.admin.backups.operations.is_running,***TO BE TRANSLATED***An operation is currently running...
admin_js.admin.backups.operations.restore.confirm,***TO BE TRANSLATED***Are your sure you want to restore this backup?
admin_js.admin.backups.operations.restore.is_disabled,***TO BE TRANSLATED***Restore is disabled in the site settings.
admin_js.admin.backups.operations.restore.text,***TO BE TRANSLATED***Restore
admin_js.admin.backups.operations.restore.title,***TO BE TRANSLATED***Restore the backup
admin_js.admin.backups.operations.rollback.confirm,***TO BE TRANSLATED***Are your sure you want to rollback the database to the previous working state?
admin_js.admin.backups.operations.rollback.text,***TO BE TRANSLATED***Rollback
admin_js.admin.backups.operations.rollback.title,***TO BE TRANSLATED***Rollback the database to previous working state
admin_js.admin.backups.read_only.disable.text,読み取り専用モードをやめる
admin_js.admin.backups.read_only.disable.title,***TO BE TRANSLATED***Disable the read-only mode
admin_js.admin.backups.read_only.enable.confirm,***TO BE TRANSLATED***Are you sure you want to enable the read-only mode?
admin_js.admin.backups.read_only.enable.text,読み取り専用モードにする
admin_js.admin.backups.read_only.enable.title,***TO BE TRANSLATED***Enable the read-only mode
admin_js.admin.backups.title,バックアップ
admin_js.admin.backups.upload.error,***TO BE TRANSLATED***There has been an error while uploading '{{filename}}': {{message}}
admin_js.admin.backups.upload.success,***TO BE TRANSLATED***'{{filename}}' has successfully been uploaded.
admin_js.admin.backups.upload.text,アップロード
admin_js.admin.backups.upload.uploading,***TO BE TRANSLATED***UPLOADING
admin_js.admin.badges.badge_type,***TO BE TRANSLATED***Badge Type
admin_js.admin.badges.delete,***TO BE TRANSLATED***Delete
admin_js.admin.badges.delete_confirm,***TO BE TRANSLATED***Are you sure you want to delete this badge?
admin_js.admin.badges.description,***TO BE TRANSLATED***Description
admin_js.admin.badges.display_name,***TO BE TRANSLATED***Display Name
admin_js.admin.badges.edit_badges,***TO BE TRANSLATED***Edit Badges
admin_js.admin.badges.grant,***TO BE TRANSLATED***Grant
admin_js.admin.badges.grant_badge,***TO BE TRANSLATED***Grant Badge
admin_js.admin.badges.granted_at,***TO BE TRANSLATED***Granted At
admin_js.admin.badges.granted_badges,***TO BE TRANSLATED***Granted Badges
admin_js.admin.badges.granted_by,***TO BE TRANSLATED***Granted By
admin_js.admin.badges.name,***TO BE TRANSLATED***Name
admin_js.admin.badges.new,***TO BE TRANSLATED***New
admin_js.admin.badges.new_badge,***TO BE TRANSLATED***New Badge
admin_js.admin.badges.no_badges,***TO BE TRANSLATED***There are no badges that can be granted.
admin_js.admin.badges.no_user_badges,***TO BE TRANSLATED***%{name} has not been granted any badges.
admin_js.admin.badges.revoke,***TO BE TRANSLATED***Revoke
admin_js.admin.badges.revoke_confirm,***TO BE TRANSLATED***Are you sure you want to revoke this badge?
