activation.already_done,申し訳ありませんが、このアカウント認証リンクは無効です。既にアカウントがアクティブになっていませんか?
activation.approval_required,このフォーラムにアクセスするにはモデレータによる承認が必要です。承認されるとメールにて通知されます!
activation.please_continue,新たなアカウントが認証され、ログインに成功しました。%{link} に進む
activation.welcome_to,%{site_name} へようこそ!
activerecord.attributes.category.name,カテゴリ名
activerecord.attributes.post.raw,本文
activerecord.attributes.user.ip_address,
activerecord.errors.messages.has_already_been_used,は既に使用中です
activerecord.errors.messages.is_invalid,は不正です。もう少し説明を追加してください
activerecord.errors.models.topic.attributes.archetype.cant_send_pm,申し訳ありませんが、このユーザにはプライベートメッセージを送信できません。
activerecord.errors.models.user.attributes.ip_address.signup_not_allowed,このアカウントからのサインアップできません。
activerecord.errors.models.user.attributes.password.common,***TO BE TRANSLATED***is one of the 10000 most common passwords. Please use a more secure password.
archetypes.regular.title,通常のトピック
assets_topic_body,"***TO BE TRANSLATED***This is a permanent topic, visible only to staff, for storing images and files used in the forum design. Don't delete it!


Here's how:


1. Reply to this topic.
2. Upload all the images you wish to use for logos, favicons, and so forth here. (Use the upload toolbar icon in the post editor, or drag-and-drop or paste images.)
3. Submit your reply to post it.
4. Right click the images in your new post to get the path to the uploaded images, or click the edit icon to edit your post and retrieve the path to the images. Copy the image paths.
5. Paste those image paths into [basic settings](/admin/site_settings/category/required).


Also, if you need to enable different file type uploads, edit `authorized_extensions` in the [file settings](/admin/site_settings/category/files)."
author_wrote,%{author} の投稿:
backup.backup_file_should_be_tar_gz,***TO BE TRANSLATED***The backup file should be a .tar.gz archive.
backup.not_enough_space_on_disk,***TO BE TRANSLATED***There is not enough space on disk to upload this backup.
backup.operation_already_running,***TO BE TRANSLATED***An operation is currently running. Can't start a new job right now.
by,By
category.errors.depth,他のサブカテゴリの下にサブカテゴリを作成することはできません。
category.errors.self_parent,自分自身がサブカテゴリの親になることはできません。
category.post_template,"%{replace_paragraph}

これ以降のパラグラフに、カテゴリのガイドライン等を書いてください。

いくつかのヒント:

- このカテゴリは何か? どのようなトピックをこのカテゴリに入れるべきか?

- 既に存在するカテゴリとの違いは何か?

- このカテゴリはなぜ必要か?

- 他のカテゴリとの統合や、複数カテゴリへの分割をするべきか?
"
category.replace_paragraph,[この最初のパラグラフを、本カテゴリの簡単な紹介文に置き換えてください。このガイダンスはカテゴリ選択エリアに表示されるため、パラグラフは200文字以内にしてください。]
category.topic_prefix,%{category} カテゴリの定義
change_email.confirmed,メールアドレスが更新されました。
change_email.error,メールアドレスの更新に失敗しました。アドレスが既に使用されているかもしれません。
change_email.please_continue,%{link} に進んでください
change_owner.post_revision_text,***TO BE TRANSLATED***Ownership transferred from %{old_user} to %{new_user}
color_schemes.base_theme_name,***TO BE TRANSLATED***Base
content_types.bottom.description,全ページのボトムに追加される HTML
content_types.bottom.title,ページボトム
content_types.education_new_reply.description,新規ユーザが回答の入力を開始した際に自動的にポップアップするガイダンスの内容 (最初の2回のみ表示)。
content_types.education_new_reply.title,新規ユーザ支援: 初めての回答
content_types.education_new_topic.description,新規ユーザが新規トピックの作成を行った際に自動的にポップアップするガイダンスに内容 (最初の2回のみ表示)。
content_types.education_new_topic.title,新規ユーザ支援: 初めてのポスト
content_types.faq.description,サイトの FAQ。空欄でデフォルト FAQ を表示。
content_types.faq.title,FAQ
content_types.head.description,***TO BE TRANSLATED***HTML that will be inserted inside the <head></head> tags.
content_types.head.title,***TO BE TRANSLATED***HTML head
content_types.login_required.description,要ログイン設定の際に、未ログインユーザに対して表示されるメッセージの内容。
content_types.login_required.title,ホームページ: 要ログイン
content_types.login_required_welcome_message.description,'login required' 設定有効時に、ユーザに対してログインを促すメッセージの内容。
content_types.login_required_welcome_message.title,ウェルカムメッセージ: 要ログイン
content_types.privacy_policy.description,サイトのプライバシーポリシー。空欄でデフォルトポリシーを表示。
content_types.privacy_policy.title,プライバシーポリシー
content_types.top.description,全ページのトップに追加される HTML (ヘッダとナビゲーション/トピックタイトルの間に表示されます)
content_types.top.title,ページトップ
content_types.tos_miscellaneous.description,利用規約の「その他」セクションの内容。
content_types.tos_miscellaneous.title,利用規約: その他
content_types.tos_signup_form_message.description,***TO BE TRANSLATED***The message that will appear beside a checkbox on the signup form if the tos_accept_required site setting is enabled.
content_types.tos_signup_form_message.title,***TO BE TRANSLATED***Signup Form: Terms of Service Message
content_types.tos_user_content_license.description,利用規約の「コンテンツ使用許諾」セクションの内容。
content_types.tos_user_content_license.title,利用規約: コンテンツ使用許諾
content_types.usage_tips.description,新規ユーザ向けのヒントや、ガイド、フォーラムに関する情報など。
content_types.usage_tips.title,新規ユーザ向けヒント
content_types.welcome_invite.description,ユーザより招待された全ての外部ユーザに自動送信されるプライベートメッセージの内容。
content_types.welcome_invite.title,ウェルカムメッセージ: 招待ユーザ
content_types.welcome_user.description,サインアップした全ての新規ユーザに自動送信されるプライベートメッセージの内容。
content_types.welcome_user.title,ウェルカムメッセージ: 新規ユーザ
dashboard.access_password_removal,現在サイトは access_password 設定を利用していますが、この設定は廃止されたため代わりに login_required と must_approve_users 設定を利用してください。<a href='/admin/site_settings'>サイトの設定</a>にて変更ができます。この際、<a href='/admin/users/list/pending'>保留中リストのユーザを承認</a>してください。(このメッセージは2日後に削除されます)
dashboard.consumer_email_warning,サイトはメール送信に Gmail (または他のカスタムメールサービス) を利用するように設定されています。<a href='http://support.google.com/a/bin/answer.py?hl=en&answer=166852' target='_blank'>Gmail で送信可能なメール数には制限があります</a>。メールを確実に送信するために mandrill.com などのメールサービスプロバイダーのり用を検討してください。
dashboard.contact_email_invalid,サイトの連絡先メールアドレスが正しくありません。<a href='/admin/site_settings'>サイトの設定</a>において contact_email を更新してください。
dashboard.contact_email_missing,サイトの連絡先メールアドレスが設定されていません。<a href='/admin/site_settings'>サイトの設定</a>において contact_email を更新してください。
dashboard.default_logo_warning,"サイトのロゴ画像をカスタマイズしていません。<a href='/admin/site_settings'>サイトの設定</a>において logo_url, logo_small_url, favicon_url を更新してください。"
dashboard.enforce_global_nicknames_warning,enforce_global_nicknames setting 設定が有効になっていますが、discourse_org_access_key 設定が空欄です。enforce_global_nicknames 設定を有効にするには Discourse.org へのアクセスキーが必要です。<a href='/admin/site_settings'>サイトの設定</a> にて正しい値を設定してください。
dashboard.facebook_config_warning,"サーバが Facebook アカウントによるサインアップ・ログイン可能な設定 (enable_facebook_logins) になっていますが、app id と app secret が設定されていません。<a href=""/admin/site_settings"">サイトの設定</a> にて設定を更新してください。<a href=""https://github.com/discourse/discourse/wiki/The-Discourse-Admin-Quick-Start-Guide#enable-facebook-logins"" target=""_blank"">詳しくはこちらを参考にしてください</a>。"
dashboard.failing_emails_warning,"%{num_failed_jobs}個のメールジョブが失敗しています。config/environments/production.rb ファイルを確認して config.action_mailer の設定が正しいか確認してください。<a href=""/sidekiq/retries"" target=""_blank"">Sidekiq で失敗したジョブを確認</a>。"
dashboard.gc_warning,"現在サーバはデフォルトの ruby ガベージコレクションパラメータを使用しており、パフォーマンスが最適化されていません。パフォーマンス・チューニングの方法についてはこちらのトピックを参考にしてください: <a href=""http://meta.discourse.org/t/tuning-ruby-and-rails-for-discourse/4126"" target=""_blank"">Tuning Ruby and Rails for Discourse</a>."
dashboard.github_config_warning,"サーバが Github アカウントによるサインアップ・ログイン可能な設定 (enable_github_logins) になっていますが、client id と secret が設定されていません。<a href=""/admin/site_settings"">サイトの設定</a> にて設定を更新してください。<a href=""https://github.com/discourse/discourse/wiki/The-Discourse-Admin-Quick-Start-Guide"" target=""_blank"">詳しくはこちらを参考にしてください</a>。"
dashboard.host_names_warning,現在 config/database.yml ファイルは、デフォルトの localhost をホスト名として使用しています。あなたのサイトのホスト名に更新してください。
